Dataset,attribute,classes,examples,isMissing£¿,RN,NB,J48,KNN,SVM,ANN,OneR
foresttypes,28,4,198,FALSE,93.95,94.92,94.97,95.45,30.32,96.92,82.26
garments_worker_productivity,14,5,1197,TRUE,44.44,26.06,47.04,26.15,35.5,41.19,32.41
gender_name_dataset,3,2,4602,FALSE,60.24,58.3,60.23,63.6,64.19,60.32,60.58
gesture_a1_raw,20,5,1747,FALSE,89.18,74.13,91.47,96.34,39.95,91.53,96.74
gesture_a1_va3,33,5,1743,FALSE,68.1,59.27,66.16,74.12,39.82,70.97,61.56
gesture_a2_raw,20,5,1264,FALSE,88.45,68.67,89.25,94.63,39,89.48,94.7
gesture_a2_va3,33,5,1260,FALSE,61.98,43.97,57.06,67.7,38.81,62.3,53.97
gesture_a3_raw,20,5,1834,FALSE,90.68,61.45,92.97,96.29,36.1,89.53,95.31
gesture_a3_va3,33,5,1830,FALSE,60.38,50.22,75.96,89.89,35.96,65.46,50.93
gesture_b1_raw,20,6,1073,FALSE,91.52,48.56,92.73,94.87,38.68,87.51,91.42
gesture_b1_va3,33,5,1069,FALSE,61.19,34.8,69.88,90.56,38.54,61.84,42.57
gesture_b3_raw,20,5,1424,FALSE,89.4,57.65,91.08,95.51,33.08,88.41,95.36
gesture_b3_va3,33,5,1420,FALSE,46.2,43.66,57.39,78.03,33.03,58.1,40.07
gesture_c1_raw,20,5,1111,FALSE,86.41,63.64,89.29,94.33,25.74,87.58,93.79
gesture_c1_va3,33,5,1107,FALSE,52.84,50.5,57.81,70.37,25.47,64.23,41.46
gesture_c3_raw,20,5,1448,FALSE,88.26,60.08,87.77,93.02,27,85.91,94.34
gesture_c3_va3,33,5,1444,FALSE,48.13,45.5,54.91,62.39,26.94,57.41,42.59
glass,10,6,214,FALSE,65.8,52.27,67.29,70.52,72.88,67.25,57.08
go_track_tracks,9,2,163,FALSE,83.6,82.87,87.68,90.92,72.02,84.12,75.55
haberman-survival,4,2,306,FALSE,73.51,75.13,71.86,67.68,72.55,72.85,72.88
hayes-roth,4,3,132,FALSE,65.88,74.84,80.27,81.04,86.32,71.04,43.96
hcc-data,50,2,165,TRUE,63.68,68.97,60.7,63.64,61.84,64.45,69.15
